V1`ariant SKU,Diamond SKU,Image 1,Image 2,Variant SKU
BP0002-R-3CTW-P-f,E589A5198,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-R-3ctw-W-B.jpg?v=1749228643,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-R-3ctw-W-C.jpg?v=1749228643,BP0002-R-3CTW-P-f-E589A5198
BP0002-P-1CTW-P-f,54BBF7277,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-P-1ctw-W-B.jpg?v=1749229232,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-P-1ctw-W-C.jpg?v=1749229232,BP0002-P-1CTW-P-f-54BBF7277
BP0002-P-2CTW-P-f,2378C79F8,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-P-2ctw-W-B.jpg?v=1749229282,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-P-2ctw-W-C.jpg?v=1749229282,BP0002-P-2CTW-P-f-2378C79F8
BP0002-P-3CTW-P-f,E9E660E8E,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-P-3ctw-W-B.jpg?v=1749229336,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-P-3ctw-W-C.jpg?v=1749229336,BP0002-P-3CTW-P-f-E9E660E8E
BP0002-E-1CTW-P-f,6E25CEE6A,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-E-1ctw-W-B.jpg?v=1749230058,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-E-1ctw-W-C.jpg?v=1749230058,BP0002-E-1CTW-P-f-6E25CEE6A
BP0002-E-2CTW-P-f,3E41E49E3,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-E-2ctw-W-B.jpg?v=1749230135,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-E-2ctw-W-C.jpg?v=1749230135,BP0002-E-2CTW-P-f-3E41E49E3
BP0002-E-3CTW-P-f,40E6A6769,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-E-3ctw-W-B.jpg?v=1749230194,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0002-E-3ctw-W-C.jpg?v=1749230194,BP0002-E-3CTW-P-f-40E6A6769
BP0003-R-1CTW-W-14k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-W-B.jpg?v=1749230607,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-W-A.jpg?v=1749230606,BP0003-R-1CTW-W-14k-f-89CDD50A5
BP0003-R-1CTW-Y-14k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-Y-B.jpg?v=1749230752,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-Y-C.jpg?v=1749230752,BP0003-R-1CTW-Y-14k-f-89CDD50A5
BP0003-R-1CTW-R-14k-f,89CDD50A5,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-R-B.jpg?v=1749230479,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BP0003-R-1ctw-R-C.jpg?v=1749230479,BP0003-R-1CTW-R-14k-f-89CDD50A5
