Variant SKU,Video URL
BR0001-P-7x7-P-f, https://cdn.shopify.com/videos/c/o/v/48ce370c5a9e4fa3ac30e9d89997fe19.mp4
BR0001-P-8x8-P-f, https://cdn.shopify.com/videos/c/o/v/48ce370c5a9e4fa3ac30e9d89997fe19.mp4
BR0001-R-6.5-P-f,https://cdn.shopify.com/videos/c/o/v/00edd7c113744074ab3eb256e4240632.mp4
BR0001-R-8-P-f,https://cdn.shopify.com/videos/c/o/v/bf82fad779104d61a4811ead7946d66b.mp4
BR0001-R-9.4-P-f,https://cdn.shopify.com/videos/c/o/v/a67b469ab6924b57b09c207960a4b6af.mp4
BR0001-A-6x6-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/0a69006c29d34ce592e91a02360ae403.mp4
BR0001-A-7x7-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/705c51dcb2c14f329731d997bde6ebe8.mp4
BR0001-O-7x5-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/00255ce86c86463aa552d699052e9ffc.mp4
BR0001-O-8x6-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/02ee10072bb54507abd070b327d62329.mp4
BR0001-O-9x7-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/8e316a59167e4fc984b1e6980bbcb628.mp4
BR0001-C-6x6-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/e21010c7548544ed83f08693259a387e.mp4
BR0001-C-7x7-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/97d3dda60eec4bbaa28f0802d3008b62.mp4
BR0001-C-8x8-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/5c14acf9e20d4ffd91d21fd282c33d47.mp4
BR0001-E-7x5-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/98ccafdacacb4dd392b0d1601e6bdff0.mp4
BR0001-E-8x6-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/4d5b7157a65e42488c183b4e9bdcd448.mp4
BR0001-E-9x7-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/7e19713202ba4a43b8c44f36669ebd9a.mp4
BR0001-E-10x8-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/4f8e1326e8854c268038eeb023c6a55c.mp4
BR0001-P-6x6-Y-14k-f, https://cdn.shopify.com/videos/c/o/v/772434df515a4862bc17d1a535f2f87d.mp4
BR0001-P-7x7-Y-14k-f, https://cdn.shopify.com/videos/c/o/v/34ea00d343464825b09bd18a069d7a2f.mp4
BR0001-P-8x8-Y-14k-f, https://cdn.shopify.com/videos/c/o/v/4e29624759534311806a4c2c57ecebd6.mp4
BR0001-R-6.5-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/9404e51930fe49ed9e2cb4e7bd63a52f.mp4
BR0001-R-8-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/3e64a0a19590487b8b064e59142d232b.mp4
BR0001-R-9.4-Y-14k-f,https://cdn.shopify.com/videos/c/o/v/28a03459eab44512b38a3cd68fcb87d8.mp4
BR0001-A-6x6-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/0a69006c29d34ce592e91a02360ae403.mp4
BR0001-A-7x7-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/705c51dcb2c14f329731d997bde6ebe8.mp4
BR0001-O-7x5-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/00255ce86c86463aa552d699052e9ffc.mp4
BR0001-O-8x6-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/02ee10072bb54507abd070b327d62329.mp4
BR0001-O-9x7-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/8e316a59167e4fc984b1e6980bbcb628.mp4
BR0001-C-6x6-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/e21010c7548544ed83f08693259a387e.mp4
BR0001-C-7x7-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/97d3dda60eec4bbaa28f0802d3008b62.mp4
BR0001-C-8x8-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/5c14acf9e20d4ffd91d21fd282c33d47.mp4
BR0001-E-7x5-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/98ccafdacacb4dd392b0d1601e6bdff0.mp4
BR0001-E-8x6-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/4d5b7157a65e42488c183b4e9bdcd448.mp4
BR0001-E-9x7-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/7e19713202ba4a43b8c44f36669ebd9a.mp4
BR0001-E-8x6-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/4d5b7157a65e42488c183b4e9bdcd448.mp4
BR0001-P-6x6-18k-f, https://cdn.shopify.com/videos/c/o/v/772434df515a4862bc17d1a535f2f87d.mp4
BR0001-P-7x7-Y-18k-f, https://cdn.shopify.com/videos/c/o/v/34ea00d343464825b09bd18a069d7a2f.mp4
BR0001-P-8x8-Y-18k-f, https://cdn.shopify.com/videos/c/o/v/4e29624759534311806a4c2c57ecebd6.mp4
BR0001-R-6.5-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/9404e51930fe49ed9e2cb4e7bd63a52f.mp4
BR0001-R-8-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/3e64a0a19590487b8b064e59142d232b.mp4
BR0001-R-9.4-Y-18k-f,https://cdn.shopify.com/videos/c/o/v/28a03459eab44512b38a3cd68fcb87d8.mp4
BR0001-A-6x6-R-14k-f,https://cdn.shopify.com/videos/c/o/v/0cb9cdfe169c447c95151704fe12509c.mp4
BR0001-A-7x7-R-14k-f,https://cdn.shopify.com/videos/c/o/v/3552788ed8884663ad9865b61d26210f.mp4
BR0001-O-7x5-R-14k-f,https://cdn.shopify.com/videos/c/o/v/fce41a92e055414fbc4f1cc0b5aa763b.mp4
BR0001-O-8x6-R-14k-f,https://cdn.shopify.com/videos/c/o/v/c7555ba7d552497fb44426b6da74ca84.mp4
BR0001-O-9x7-R-14k-f,https://cdn.shopify.com/videos/c/o/v/cc4928e2c1dc48079153f6835e99434f.mp4
BR0001-C-6x6-R-14k-f,https://cdn.shopify.com/videos/c/o/v/47f598dd8e204ea1a4d81cd3f403defb.mp4
BR0001-C-7x7-R-14k-f,https://cdn.shopify.com/videos/c/o/v/9b5ae8d1159447478bdc3cdefa7eb3b4.mp4
BR0001-C-8x8-R-14k-f,https://cdn.shopify.com/videos/c/o/v/e7101a9ad4ff4350bb615b54f666ba8d.mp4
BR0001-E-7x5-R-14k-f,https://cdn.shopify.com/videos/c/o/v/d4f209f498fa4f6d8bd11c64875783c1.mp4
BR0001-E-8x6-R-14k-f,https://cdn.shopify.com/videos/c/o/v/fc601fb4b531462b9d2ba1a8ad7d9d88.mp4
